Time,Symbol,Side,Price,Qty,Route,Broker,Account,Type,Cloid,Liq,ECNFee,P / L,SecType,LiqType,Value,P/L R,
09:37:31,ACB,S,5.08,16,ARCA,ARCX,14540,Margin,V2502050028441,-,0,0.34,Equity/ETF,ARE,81.28,,
08:10:07,KTTA,B,3.23,23,ARCA,ARCX,14540,Margin,V2502050018804,-,0,0.00,Equity/ETF,RR,74.29,,
08:10:06,KTTA,B,3.24,23,ARCA,ARCX,14540,Margin,V2502050018803,-,0,0.00,Equity/ETF,RR,74.52,,
11:06:33,RNAZ,S,11.1,6,ARCA,ARCX,14540,Margin,V2502050041360,-,0,-2.92,Equity/ETF,A,66.6,,
08:15:59,CPIX,B,4.61,17,ARCA,ARCX,14540,Margin,V2502050019406,-,0,0.00,Equity/ETF,RR,78.37,,
11:06:13,RNAZ,B,11.37,3,ARCA,ARCX,14540,Margin,V2502050041332,-,0,0.00,Equity/ETF,RBD,34.11,,
08:58:07,KTTA,S,3.4,21,ARCA,ARCX,14540,Margin,V2502050023706,-,0,-1.68,Equity/ETF,RR,71.4,,
09:11:57,KTTA,B,3.49,21,ARCA,ARCX,14540,Margin,V2502050024522,-,0,0.00,Equity/ETF,RR,73.29,,
11:05:22,RNAZ,B,11.81,1,ARCA,ARCX,14540,Margin,V2502050041259,-,0,0.00,Equity/ETF,RBD,11.81,,
11:05:22,RNAZ,B,11.8,2,ARCA,ARCX,14540,Margin,V2502050041259,-,0,0.00,Equity/ETF,RBD,23.6,,
09:42:15,ACB,S,5.23,15,ARCA,ARCX,14540,Margin,V2502050029837,-,0,-0.07,Equity/ETF,ARE,78.45,,
09:32:13,KTTA,B,3.51,3,ARCA,ARCX,14540,Margin,V2502050027052,-,0,0.00,Equity/ETF,RR,10.53,,
07:09:48,KTTA,B,3.9,15,ARCA,ARCX,14540,Margin,V2502050013033,-,0,-0.00,Equity/ETF,RR,58.5,,
09:32:13,KTTA,B,3.51,18,ARCA,ARCX,14540,Margin,V2502050027052,-,0,0.00,Equity/ETF,RR,63.18,,
07:09:48,KTTA,B,3.9,4,ARCA,ARCX,14540,Margin,V2502050013033,-,0,0.00,Equity/ETF,RR,15.6,,
11:03:49,RNAZ,S,11.7001,10,ARCA,VLCT,14540,Margin,V2502050041155,-,0,-4.00,Equity/ETF,,117.001,,
08:57:22,KTTA,B,3.48,21,ARCA,ARCX,14540,Margin,V2502050023632,-,0,0.00,Equity/ETF,RR,73.08,,
08:09:22,KTTA,S,3.37,21,ARCA,ARCX,14540,Margin,V2502050018657,-,0,0.31,Equity/ETF,ARE,70.77,,
13:01:11,QNTM,S,9.75,8,ARCA,ARCX,14540,Margin,V2502050048063,-,0,1.28,Equity/ETF,A,78,,
07:17:10,KTTA,B,3.74,20,ARCA,ARCX,14540,Margin,V2502050014031,-,0,0.00,Equity/ETF,X,74.8,,
08:09:22,KTTA,S,3.37,1,ARCA,ARCX,14540,Margin,V2502050018657,-,0,0.02,Equity/ETF,ARE,3.37,,
08:09:16,KTTA,S,3.36,4,ARCA,ARCX,14540,Margin,V2502050018647,-,0,0.02,Equity/ETF,ARE,13.44,,
08:09:16,KTTA,S,3.36,18,ARCA,ARCX,14540,Margin,V2502050018647,-,0,0.09,Equity/ETF,ARE,60.48,,
09:41:30,ACB,B,5.19,15,ARCA,ARCX,14540,Margin,V2502050029690,-,0,0.00,Equity/ETF,RR,77.85,,
13:00:59,QNTM,B,9.7,4,ARCA,ARCX,14540,Margin,V2502050048039,-,0,0.00,Equity/ETF,RR,38.8,,
07:30:06,KTTA,B,3.26,22,ARCA,ARCX,14540,Margin,V2502050015572,-,0,0.00,Equity/ETF,RR,71.72,,
09:44:57,ACB,S,5.06,31,ARCA,ARCX,14540,Margin,V2502050030459,-,0,-3.11,Equity/ETF,RR,156.86,,
13:00:43,QNTM,B,9.48,4,ARCA,ARCX,14540,Margin,V2502050048021,-,0,0.00,Equity/ETF,RBD,37.92,,
11:02:50,RNAZ,B,12.1,10,ARCA,ARCX,14540,Margin,V2502050041079,-,0,0.00,Equity/ETF,ARE,121,,
12:43:42,BBAI,B,7.315,10,ARCA,ARCX,14540,Margin,V2502050047109,-,0,0.65,Equity/ETF,RBD,73.15,,
08:56:25,KTTA,S,3.59,11,ARCA,ARCX,14540,Margin,V2502050023585,-,0,0.22,Equity/ETF,ARE,39.49,,
12:43:36,BBAI,SS,7.38,10,ARCA,ARCX,14540,Short,V2502050047107,-,0,0.00,Equity/ETF,RR,73.8,,
08:55:34,KTTA,S,3.58,10,ARCA,ARCX,14540,Margin,V2502050023559,-,0,0.10,Equity/ETF,RR,35.8,,
08:55:15,KTTA,S,3.6,21,ARCA,ARCX,14540,Margin,V2502050023526,-,0,0.63,Equity/ETF,ARE,75.6,,
08:54:53,KTTA,B,3.54,21,ARCA,ARCX,14540,Margin,V2502050023508,-,0,0.00,Equity/ETF,RR,74.34,,
09:41:05,ACB,B,5.28,10,ARCA,ARCX,14540,Margin,V2502050029612,-,0,0.00,Equity/ETF,RR,52.8,,
09:41:05,ACB,B,5.28,5,ARCA,ARCX,14540,Margin,V2502050029612,-,0,0.00,Equity/ETF,RR,26.4,,
09:44:14,ACB,B,5.09,16,ARCA,ARCX,14540,Margin,V2502050030307,-,0,0.00,Equity/ETF,X,81.44,,
07:28:50,KTTA,B,3.37,22,ARCA,ARCX,14540,Margin,V2502050015472,-,0,0.00,Equity/ETF,X,74.14,,
09:33:46,KTTA,S,3.51,21,ARCA,ARCX,14540,Margin,V2502050027477,-,0,0.00,Equity/ETF,ARE,73.71,,
10:21:05,RNAZ,S,10.14,6,ARCA,ARCX,14540,Margin,V2502050037125,-,0,-7.92,Equity/ETF,A,60.84,,
13:06:07,QNTM,S,9.2901,8,ARCA,VLCT,14540,Margin,V2502050048472,-,0,-2.52,Equity/ETF,,74.3208,,
09:36:03,ACB,B,5.08,11,ARCA,ARCX,14540,Margin,V2502050028126,-,0,0.00,Equity/ETF,RR,55.88,,
09:36:03,ACB,B,5.08,1,ARCA,ARCX,14540,Margin,V2502050028126,-,0,0.00,Equity/ETF,RR,5.08,,
09:36:03,ACB,B,5.07,4,ARCA,ARCX,14540,Margin,V2502050028126,-,0,0.00,Equity/ETF,RBD,20.28,,
08:08:18,KTTA,B,3.29,22,ARCA,ARCX,14540,Margin,V2502050018467,-,0,0.00,Equity/ETF,RR,72.38,,
09:35:55,ACB,B,5.04,16,ARCA,ARCX,14540,Margin,V2502050028089,-,0,0.00,Equity/ETF,RR,80.64,,
13:05:43,QNTM,B,9.53,4,ARCA,ARCX,14540,Margin,V2502050048439,-,0,0.00,Equity/ETF,RBD,38.12,,
07:07:21,KTTA,B,4.07,19,ARCA,ARCX,14540,Margin,V2502050012752,-,0,0.00,Equity/ETF,X,77.33,,
08:07:15,KTTA,B,3.42,22,ARCA,ARCX,14540,Margin,V2502050018385,-,0,0.00,Equity/ETF,RR,75.24,,
08:53:05,KTTA,B,3.6,21,ARCA,ARCX,14540,Margin,V2502050023245,-,0,0.00,Equity/ETF,RR,75.6,,
13:04:51,QNTM,B,9.68,4,ARCA,ARCX,14540,Margin,V2502050048356,-,0,0.00,Equity/ETF,RR,38.72,,
10:26:35,RNAZ,S,10.34,3,ARCA,ARCX,14540,Margin,V2502050037842,-,0,0.33,Equity/ETF,A,31.02,,
08:52:35,KTTA,S,3.6,21,ARCA,ARCX,14540,Margin,V2502050023172,-,0,0.00,Equity/ETF,ARE,75.6,,
10:19:01,RNAZ,B,11.15,3,ARCA,ARCX,14540,Margin,V2502050036902,-,0,0.00,Equity/ETF,RBD,33.45,,
10:26:22,RNAZ,B,10.23,3,ARCA,ARCX,14540,Margin,V2502050037830,-,0,0.00,Equity/ETF,RBD,30.69,,
07:21:03,KTTA,S,3.55,107,ARCA,ARCX,14540,Margin,V2502050014354,-,0,-8.43,Equity/ETF,RR,379.85,,
07:21:03,KTTA,S,3.55,5,ARCA,ARCX,14540,Margin,V2502050014354,-,0,-0.39,Equity/ETF,RR,17.75,,
07:21:03,KTTA,S,3.55,12,ARCA,ARCX,14540,Margin,V2502050014354,-,0,-0.95,Equity/ETF,RR,42.6,,
07:21:03,KTTA,S,3.56,5,ARCA,ARCX,14540,Margin,V2502050014354,-,0,-0.34,Equity/ETF,RBD,17.8,,
07:20:50,KTTA,S,3.56,77,ARCA,ARCX,14540,Margin,V2502050014332,-,0,-5.30,Equity/ETF,ARE,274.12,,
