Time,Symbol,Side,Price,Qty,Route,Cloid,ECNFee,P / L,SecType,LiqType,BP,Value,P/L R,Broker,Account,Type,
09:34:41,ZVSA,S,3.36,1404,SMRT,AUTO,0,168.48,Equity/ETF,,5222.88,4717.44,,,TRIB14396,Margin,
09:34:40,ZVSA,B,3.24,1404,SMRT,AUTO,0,0.00,Equity/ETF,,-4548.96,4548.96,,,TRIB14396,Margin,
08:57:44,AGFY,S,6.02,930,SMRT,AUTO,0,37.20,Equity/ETF,,5710.2,5598.6,,,TRIB14396,Margin,
08:57:34,AGFY,B,5.98,930,SMRT,AUTO,0,0.00,Equity/ETF,,-5561.4,5561.4,,,TRIB14396,Margin,
08:53:38,AGFY,S,6.55,905,SMRT,AUTO,0,298.65,Equity/ETF,,6823.7,5927.75,,,TRIB14396,Margin,
08:53:29,AGFY,S,6.44,904,SMRT,AUTO,0,198.88,Equity/ETF,,6418.4,5821.76,,,TRIB14396,Margin,
08:53:27,AGFY,S,6.53,1809,SMRT,AUTO,0,560.79,Equity/ETF,,13495.1,11812.8,,,TRIB14396,Margin,
08:53:26,AGFY,S,6.39,3618,SMRT,AUTO,0,615.06,Equity/ETF,,24964.2,23119,,,TRIB14396,Margin,
08:53:18,AGFY,B,6.22,3631,SMRT,AUTO,0,0.00,Equity/ETF,,-22584.8,22584.8,,,TRIB14396,Margin,
08:53:18,AGFY,B,6.22,3605,SMRT,AUTO,0,0.00,Equity/ETF,,-22423.1,22423.1,,,TRIB14396,Margin,
08:53:16,AGFY,S,5.97,1874,SMRT,AUTO,0,84.36,Equity/ETF,,11440.9,11187.8,,,TRIB14396,Margin,
08:53:15,AGFY,S,5.98,1873,SMRT,AUTO,0,103.04,Equity/ETF,,11509.7,11200.5,,,TRIB14396,Margin,
08:53:15,AGFY,S,5.98,3747,SMRT,AUTO,0,206.15,Equity/ETF,,23025.5,22407.1,,,TRIB14396,Margin,
08:53:04,AGFY,B,5.93,3735,SMRT,AUTO,0,0.00,Equity/ETF,,-22148.5,22148.5,,,TRIB14396,Margin,
08:52:55,AGFY,B,5.92,3759,SMRT,AUTO,0,0.00,Equity/ETF,,-22253.3,22253.3,,,TRIB14396,Margin,
08:52:21,AGFY,S,5.52,3870,SMRT,AUTO,0,-503.10,Equity/ETF,,19853.1,21362.4,,,TRIB14396,Margin,
08:49:34,AGFY,B,5.65,3870,SMRT,AUTO,0,0.00,Equity/ETF,,-21865.5,21865.5,,,TRIB14396,Margin,
08:48:05,AGFY,S,5.57,3836,SMRT,AUTO,0,-575.40,Equity/ETF,,19640.3,21366.5,,,TRIB14396,Margin,
08:47:58,AGFY,B,5.72,3836,SMRT,AUTO,0,0.00,Equity/ETF,,-21941.9,21941.9,,,TRIB14396,Margin,
08:47:52,AGFY,S,5.61,1845,SMRT,AUTO,0,-701.10,Equity/ETF,,8247.15,10350.5,,,TRIB14396,Margin,
08:47:31,AGFY,B,5.99,1845,SMRT,AUTO,0,0.00,Equity/ETF,,-11051.5,11051.6,,,TRIB14396,Margin,
08:21:25,AGFY,S,6.26,1766,SMRT,AUTO,0,-141.28,Equity/ETF,,10631.3,11055.2,,,TRIB14396,Margin,
08:21:04,AGFY,B,6.34,1766,SMRT,AUTO,0,0.00,Equity/ETF,,-11196.4,11196.4,,,TRIB14396,Margin,
08:20:16,AGFY,S,5.29,531,SMRT,AUTO,0,175.23,Equity/ETF,,3334.68,2808.99,,,TRIB14396,Margin,
08:20:15,AGFY,S,5.23,531,SMRT,AUTO,0,143.37,Equity/ETF,,3207.24,2777.13,,,TRIB14396,Margin,
08:20:11,AGFY,S,5.32,1062,SMRT,AUTO,0,382.32,Equity/ETF,,6796.8,5649.84,,,TRIB14396,Margin,
08:19:50,AGFY,B,4.96,2124,SMRT,AUTO,0,0.00,Equity/ETF,,-10535,10535,,,TRIB14396,Margin,
07:47:39,ALBT,S,5.1,1069,SMRT,AUTO,0,176.52,Equity/ETF,,5981.45,5451.9,,,TRIB14396,Margin,
07:46:08,ALBT,S,5.26,1069,SMRT,AUTO,0,347.56,Equity/ETF,,6665.61,5622.94,,,TRIB14396,Margin,
07:45:52,ALBT,S,5.11,2138,SMRT,AUTO,0,374.41,Equity/ETF,,12048.4,10925.2,,,TRIB14396,Margin,
07:45:51,ALBT,S,5.09,4276,SMRT,AUTO,0,663.31,Equity/ETF,,23754.8,21764.8,,,TRIB14396,Margin,
07:45:44,ALBT,B,4.97,4261,SMRT,AUTO,0,0.00,Equity/ETF,,-21177.2,21177.2,,,TRIB14396,Margin,
07:45:25,ALBT,B,4.9,4291,SMRT,AUTO,0,0.00,Equity/ETF,,-21025.9,21025.9,,,TRIB14396,Margin,
07:45:07,ALBT,S,4.85,4267,SMRT,AUTO,0,-469.37,Equity/ETF,,19286.8,20694.9,,,TRIB14396,Margin,
07:44:28,ALBT,B,4.96,4267,SMRT,AUTO,0,0.00,Equity/ETF,,-21164.3,21164.3,,,TRIB14396,Margin,
07:44:11,ALBT,S,4.53,2273,SMRT,AUTO,0,68.19,Equity/ETF,,10501.3,10296.7,,,TRIB14396,Margin,
07:44:10,ALBT,S,4.53,2272,SMRT,AUTO,0,68.16,Equity/ETF,,10496.6,10292.2,,,TRIB14396,Margin,
07:43:57,ALBT,B,4.5,4545,SMRT,AUTO,0,0.00,Equity/ETF,,-20452.5,20452.5,,,TRIB14396,Margin,
07:36:26,ZVSA,S,2.96,281,SMRT,AUTO,0,12.26,Equity/ETF,,3327.04,831.76,,,TRIB14396,Margin,
07:36:23,ZVSA,S,2.96,280,SMRT,AUTO,0,12.21,Equity/ETF,,3315.2,828.8,,,TRIB14396,Margin,
07:36:21,ZVSA,S,2.97,561,SMRT,AUTO,0,30.08,Equity/ETF,,6664.68,1666.17,,,TRIB14396,Margin,
07:36:21,ZVSA,S,2.97,1121,SMRT,AUTO,0,60.11,Equity/ETF,,13317.5,3329.37,,,TRIB14396,Margin,
07:36:19,ZVSA,S,2.98,2242,SMRT,AUTO,0,142.63,Equity/ETF,,26724.6,6681.16,,,TRIB14396,Margin,
07:36:18,ZVSA,S,2.96,4485,SMRT,AUTO,0,195.63,Equity/ETF,,53102.4,13275.6,,,TRIB14396,Margin,
07:36:15,ZVSA,B,2.97,2958,SMRT,AUTO,0,0.00,Equity/ETF,,-35141,8785.26,,,TRIB14396,Margin,
07:34:07,ZVSA,B,2.89,6012,SMRT,AUTO,0,0.00,Equity/ETF,,-69498.7,17374.7,,,TRIB14396,Margin,
07:32:27,ALBT,S,4.47,4511,SMRT,AUTO,0,-360.88,Equity/ETF,,19081.5,20164.2,,,TRIB14396,Margin,
07:31:41,ALBT,B,4.55,4511,SMRT,AUTO,0,0.00,Equity/ETF,,-20525,20525,,,TRIB14396,Margin,
07:29:30,ALBT,S,4.47,4504,SMRT,AUTO,0,-450.40,Equity/ETF,,18781.7,20132.9,,,TRIB14396,Margin,
07:29:04,ALBT,B,4.57,4504,SMRT,AUTO,0,0.00,Equity/ETF,,-20583.3,20583.3,,,TRIB14396,Margin,
07:28:52,ALBT,S,4.44,4594,SMRT,AUTO,0,0.00,Equity/ETF,,20397.4,20397.4,,,TRIB14396,Margin,
07:28:46,ALBT,B,4.44,4594,SMRT,AUTO,0,0.00,Equity/ETF,,-20397.4,20397.4,,,TRIB14396,Margin,
