Time,Symbol,Side,Price,Qty,Route,Broker,Account,Type,Cloid,Liq,ECNFee,P / L,SecType,LiqType,BP,Value,P/L R,
17:10:30,GNPX,S,1.62,5208,SMRT,,TRIB14396,Margin,AUTO,-,0,-833.28,Equity/ETF,,33747.8,8436.96,,
05:07:21,BIVI,S,4.01,2529,SMRT,,TRIB14396,Margin,AUTO,-,0,468.83,Equity/ETF,,11547.8,10141.3,,
10:08:21,BIVI,B,6.7,3409,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-22840.3,22840.3,,
07:04:49,SYTA,B,1.37,8670,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-47511.6,11877.9,,
10:08:20,BIVI,B,6.72,3386,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-22753.9,22753.9,,
05:07:18,BIVI,S,4.05,5059,SMRT,,TRIB14396,Margin,AUTO,+,0,1140.21,Equity/ETF,,23909.6,20489,,
08:58:19,LTBR,B,9.79,2523,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-24700.2,24700.2,,
10:03:05,BIVI,S,6.71,3267,SMRT,,TRIB14396,Margin,AUTO,-,0,-1110.78,Equity/ETF,,18589.2,21921.6,,
07:04:40,SYTA,S,1.4,6375,SMRT,,TRIB14396,Margin,AUTO,-,0,-187.92,Equity/ETF,,35700,8925,,
07:04:33,SYTA,B,1.46,4213,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-24603.9,6150.98,,
07:25:09,SYTA,S,2.33,1655,SMRT,,TRIB14396,Margin,AUTO,-,0,-148.95,Equity/ETF,,15424.6,3856.15,,
10:11:06,BIVI,S,6.25,3550,SMRT,,TRIB14396,Margin,AUTO,-,0,-426.00,Equity/ETF,,20909.5,22187.5,,
08:16:36,ISPC,B,8.5,2830,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-24055,24055,,
07:04:19,SYTA,S,1.41,2161,SMRT,,TRIB14396,Margin,AUTO,-,0,86.44,Equity/ETF,,12188,3047.01,,
07:04:18,SYTA,S,1.42,4322,SMRT,,TRIB14396,Margin,AUTO,-,0,216.10,Equity/ETF,,24549,6137.24,,
10:14:29,BIVI,B,6.29,3575,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-22486.8,22486.8,,
10:02:57,BIVI,B,7.05,3267,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-23032.3,23032.3,,
09:51:21,SYTA,S,2.26,6912,SMRT,,TRIB14396,Margin,AUTO,-,0,138.24,Equity/ETF,,62484.5,15621.1,,
