Time,Symbol,Side,Price,Qty,Route,Cloid,ECNFee,P / L,SecType,LiqType,BP,Value,P/L R,Broker,Account,Type,
05:03:57,VS,S,4.42,4042,SMRT,AUTO,0,17.48,Equity/ETF,,17918.1,17865.6,,,TRIB14396,Margin,
05:03:54,VS,S,4.48,4041,SMRT,AUTO,0,259.94,Equity/ETF,,18883.5,18103.7,,,TRIB14396,Margin,
05:03:43,VS,B,4.46,5327,SMRT,AUTO,0,0.00,Equity/ETF,,-23758.4,23758.4,,,TRIB14396,Margin,
05:03:39,VS,S,4.39,2755,SMRT,AUTO,0,165.30,Equity/ETF,,12590.3,12094.4,,,TRIB14396,Margin,
05:03:33,VS,B,4.33,5511,SMRT,AUTO,0,0.00,Equity/ETF,,-23862.6,23862.6,,,TRIB14396,Margin,
05:01:44,VS,S,4.22,5384,SMRT,AUTO,0,-915.28,Equity/ETF,,19974.6,22720.5,,,TRIB14396,Margin,
05:01:31,VS,B,4.39,5384,SMRT,AUTO,0,0.00,Equity/ETF,,-23635.8,23635.8,,,TRIB14396,Margin,
04:59:40,VS,S,4.04,4496,SMRT,AUTO,0,1354.29,Equity/ETF,,22226.7,18163.8,,,TRIB14396,Margin,
04:58:59,VS,S,3.91,4495,SMRT,AUTO,0,769.64,Equity/ETF,,19884.4,17575.5,,,TRIB14396,Margin,
04:58:48,VS,B,3.86,2936,SMRT,AUTO,0,0.00,Equity/ETF,,-11333,11333,,,TRIB14396,Margin,
04:58:33,VS,B,3.68,6055,SMRT,AUTO,0,0.00,Equity/ETF,,-22282.4,22282.4,,,TRIB14396,Margin,
04:58:16,VS,S,3.58,6065,SMRT,AUTO,0,-545.85,Equity/ETF,,20075.2,21712.7,,,TRIB14396,Margin,
04:58:10,VS,B,3.67,6065,SMRT,AUTO,0,0.00,Equity/ETF,,-22258.6,22258.5,,,TRIB14396,Margin,
04:57:55,VS,S,3.61,6034,SMRT,AUTO,0,-422.38,Equity/ETF,,20515.6,21782.7,,,TRIB14396,Margin,
04:57:48,VS,B,3.68,6034,SMRT,AUTO,0,0.00,Equity/ETF,,-22205.1,22205.1,,,TRIB14396,Margin,
05:53:29,VS,S,5.46,2278,SMRT,AUTO,0,-296.14,Equity/ETF,,11549.5,12437.9,,,TRIB14396,Margin,
05:53:00,VS,B,5.59,2278,SMRT,AUTO,0,0.00,Equity/ETF,,-12734,12734,,,TRIB14396,Margin,
05:52:18,VS,S,5.3,4729,SMRT,AUTO,0,189.16,Equity/ETF,,25631.2,25063.7,,,TRIB14396,Margin,
