Time,Symbol,Side,Price,Qty,Route,Cloid,ECNFee,P / L,SecType,LiqType,BP,Value,P/L R,Broker,Account,Type,
05:18:59,NCPL,S,5,2209,SMRT,AUTO,0,662.70,Equity/ETF,,13033.1,11045,,,TRIB14396,Margin,
05:18:51,NCPL,B,4.7,2209,SMRT,AUTO,0,0.00,Equity/ETF,,-10382.3,10382.3,,,TRIB14396,Margin,
05:17:55,NCPL,S,4,1206,SMRT,AUTO,0,-144.72,Equity/ETF,,4389.84,4824,,,TRIB14396,Margin,
05:17:42,NCPL,S,4.34,1205,SMRT,AUTO,0,265.10,Equity/ETF,,6025,5229.7,,,TRIB14396,Margin,
05:17:35,NCPL,B,4.12,2411,SMRT,AUTO,0,0.00,Equity/ETF,,-9933.32,9933.32,,,TRIB14396,Margin,
05:16:56,NCPL,S,3.83,1274,SMRT,AUTO,0,50.96,Equity/ETF,,5032.3,4879.42,,,TRIB14396,Margin,
05:16:46,NCPL,S,4,1273,SMRT,AUTO,0,267.33,Equity/ETF,,5893.99,5092,,,TRIB14396,Margin,
05:16:40,NCPL,S,4.17,2546,SMRT,AUTO,0,967.48,Equity/ETF,,13519.3,10616.8,,,TRIB14396,Margin,
05:16:34,NCPL,B,3.79,5093,SMRT,AUTO,0,0.00,Equity/ETF,,-19302.5,19302.5,,,TRIB14396,Margin,
05:11:22,STAF,S,6.68,1694,SMRT,AUTO,0,-118.58,Equity/ETF,,10960.2,11315.9,,,TRIB14396,Margin,
05:10:44,STAF,B,6.75,1694,SMRT,AUTO,0,0.00,Equity/ETF,,-11434.5,11434.5,,,TRIB14396,Margin,
04:58:46,STAF,S,5.94,1229,SMRT,AUTO,0,1453.09,Equity/ETF,,11659.5,7300.26,,,TRIB14396,Margin,
04:58:18,STAF,S,5.02,1229,SMRT,AUTO,0,322.41,Equity/ETF,,7136.81,6169.58,,,TRIB14396,Margin,
04:58:07,STAF,B,4.88,2148,SMRT,AUTO,0,0.00,Equity/ETF,,-10482.2,10482.2,,,TRIB14396,Margin,
04:58:07,STAF,S,4.43,309,SMRT,AUTO,0,160.68,Equity/ETF,,1850.91,1368.87,,,TRIB14396,Margin,
04:57:37,STAF,S,3.97,618,SMRT,AUTO,0,37.08,Equity/ETF,,2564.7,2453.46,,,TRIB14396,Margin,
04:57:33,STAF,B,3.91,1237,SMRT,AUTO,0,0.00,Equity/ETF,,-4836.67,4836.67,,,TRIB14396,Margin,
04:48:20,VSME,S,8.21,804,SMRT,AUTO,0,785.85,Equity/ETF,,8958.4,6600.84,,,TRIB14396,Margin,
04:48:00,VSME,S,8,803,SMRT,AUTO,0,616.25,Equity/ETF,,8272.74,6424,,,TRIB14396,Margin,
04:47:51,VSME,S,7.72,1607,SMRT,AUTO,0,783.30,Equity/ETF,,14755.9,12406,,,TRIB14396,Margin,
04:47:45,VSME,B,7.48,1564,SMRT,AUTO,0,0.00,Equity/ETF,,-11698.7,11698.7,,,TRIB14396,Margin,
04:47:08,VSME,S,7.26,1649,SMRT,AUTO,0,431.98,Equity/ETF,,13267.7,11971.7,,,TRIB14396,Margin,
